model_path,model_folder,model_name,uses_metadata,epochs,sft_size,training_cfg,lora_rank,prompt,BERTScore_f1,BERTScore_precision,BERTScore_recall,BLEU,Cosine,JSD,Jaccard,Levenshtein,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,SequenceMatcher
M12.meta.NQ1k.03.r16,M12.meta.NQ1k.03.r16,M12,true,,NQ1k,03,r16,sft_xml,0.4209992974996567,0.5213023632764816,0.3829828351736069,0.0022599457312759428,0.21396805205372735,0.1863906701902597,0.01999987955870309,0.15309753233939358,0.14214038901295273,0.0,0.14214038901295273,0.11004593639331586
M12.meta.NQ1k.03.r8,M12.meta.NQ1k.03.r8,M12,true,,NQ1k,03,r8,sft_xml,0.42603670954704287,0.5315610647201539,0.3826610207557678,0.004396369681545222,0.23991957035611203,0.19643601095625715,0.03511361909104727,0.1739774480642305,0.17139076382554644,0.0034482758620689655,0.14602844498496673,0.11509571043249282
M12.meta.NQ2k.01.r16,M12.meta.NQ2k.01.r16,M12,true,,NQ2k,01,r16,sft_xml,0.39727733135223386,0.49736912846565245,0.3557334691286087,0.0031499323626358842,0.18656892144835363,0.19294738724288607,0.031067251461988306,0.15169592927179337,0.12876106548156238,0.0,0.11598378065458811,0.11489388658739774
M12.meta.NQ2k.01.r8,M12.meta.NQ2k.01.r8,M12,true,,NQ2k,01,r8,sft_xml,0.4025998443365097,0.5118545919656754,0.3570657163858414,0.003225235576563282,0.17555875183723402,0.1902698429627438,0.027858008843246324,0.15815155796994054,0.12419924075167041,0.0,0.1115820199503064,0.11851603664561465
M12.meta.NQ2k.02.r16,M12.meta.NQ2k.02.r16,M12,true,,NQ2k,02,r16,sft_xml,0.3993301331996918,0.5281405627727509,0.3297874629497528,0.00034735090230512473,0.1236061161767444,0.1731329282303234,0.006500000000000001,0.1398145900945937,0.09063247863247864,0.0,0.08663247863247864,0.10516542676774351
M12.meta.NQ2k.02.r8,M12.meta.NQ2k.02.r8,M12,true,,NQ2k,02,r8,sft_xml,0.4094551354646683,0.5445456683635712,0.3377529144287109,0.0021121687858874595,0.1334717527922157,0.17626295848180648,0.008739495798319327,0.14438259692043873,0.10024249652156629,0.0,0.10024249652156629,0.10852064633327482
M12.meta.NQ2k.03.r16,M12.meta.NQ2k.03.r16,M12,true,,NQ2k,03,r16,sft_xml,0.4072033315896988,0.5307134330272675,0.34128489792346955,0.002149945842686952,0.15152254867255827,0.17544522123751913,0.008585055643879173,0.16418687106171065,0.10781764129590217,0.0,0.10781764129590217,0.12739577817305678
M12.meta.NQ2k.03.r8,M12.meta.NQ2k.03.r8,M12,true,,NQ2k,03,r8,sft_xml,0.35977509915828704,0.4563448250293732,0.3073084235191345,0.0014677750373656164,0.07346785578922915,0.15794682498521456,0.007965860597439544,0.14160505434655546,0.05463582311408398,0.0,0.05463582311408398,0.10897138684446687
M12.meta.NQ4k.01.r16,M12.meta.NQ4k.01.r16,M12,true,,NQ4k,01,r16,sft_xml,0.40633649230003355,0.5313726156949997,0.3403517365455627,0.002805967618224257,0.15825015220964606,0.1900550945950689,0.027192982456140352,0.14849231803470792,0.11526670155241585,0.0,0.11118506889935462,0.11669135819636489
M12.meta.NQ4k.01.r8,M12.meta.NQ4k.01.r8,M12,true,,NQ4k,01,r8,sft_xml,0.4058250367641449,0.5154616802930831,0.3599780201911926,0.0031499323626358842,0.18656892144835363,0.19294738724288607,0.031067251461988306,0.15544013687142266,0.12876106548156238,0.0,0.11598378065458811,0.11863809418702702
