model_path,model_folder,model_name,uses_metadata,epochs,sft_size,training_cfg,lora_rank,prompt,BERTScore_f1,BERTScore_precision,BERTScore_recall,BLEU,Cosine,JSD,Jaccard,Levenshtein,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,SequenceMatcher
M12.NQ1k.03.r16,M12.NQ1k.03.r16,M12,false,,NQ1k,03,r16,sft_xml,0.45486430487849494,0.5135156066309322,0.42074621802026574,0.014797831205063413,0.15581812713824564,0.21795603343154443,0.06919561219349983,0.2805774050606393,0.1305848744951943,0.03386280030310905,0.1213798741553863,0.2378976471098873
M12.NQ1k.03.r8,M12.NQ1k.03.r8,M12,false,,NQ1k,03,r8,sft_xml,0.4557671137831428,0.5170124289393425,0.4216075812686573,0.019443905132741423,0.1790591905744019,0.22975496989835703,0.07996451665444972,0.28870740477610407,0.15102191913078405,0.03974579953390342,0.14300007544625137,0.24880534354665626
M12.NQ2k.01.r16,M12.NQ2k.01.r16,M12,false,,NQ2k,01,r16,sft_xml,0.443442784845829,0.5005489346655932,0.41164517020637337,0.017409958372077847,0.1610164911092867,0.22171209297966435,0.07254348164100387,0.2731066600517124,0.13229904657026104,0.035228474279704165,0.12271589645511077,0.2311935328299474
M12.NQ2k.01.r8,M12.NQ2k.01.r8,M12,false,,NQ2k,01,r8,sft_xml,0.4520767162604765,0.5009188531474633,0.4250341179695996,0.016429154993758792,0.1526848395176681,0.21816928180791445,0.06849083044913776,0.2881378566998939,0.1261662035460362,0.03515870034122104,0.11701280579975687,0.24177382625951194
M12.NQ2k.02.r16,M12.NQ2k.02.r16,M12,false,,NQ2k,02,r16,sft_xml,0.44974197561090645,0.5095402771505443,0.41447017106142914,0.014179165611105993,0.1511476301810547,0.21065492341384814,0.06373329192738647,0.27798563872886667,0.13134017599049633,0.03572595256623816,0.1232490953809356,0.2374536993197193
M12.NQ2k.02.r8,M12.NQ2k.02.r8,M12,false,,NQ2k,02,r8,sft_xml,0.4469385332952846,0.5056738105687228,0.413367524580522,0.014184409879629847,0.1535047357578128,0.2100898592832932,0.060295216324986765,0.28204074042032123,0.13038408382974195,0.03521062461401802,0.12149370482563462,0.24046683118747378
M12.NQ2k.03.r16,M12.NQ2k.03.r16,M12,false,,NQ2k,03,r16,sft_xml,0.43325332966717806,0.4948909372633154,0.3965012280507521,0.009661977468905007,0.12218130874797574,0.20369370684233726,0.04679601945463998,0.2618808120011784,0.10368245617899603,0.026361488188044523,0.09697798094076834,0.224745702390691
M12.NQ2k.03.r8,M12.NQ2k.03.r8,M12,false,,NQ2k,03,r8,sft_xml,0.4289720861207355,0.48904840339313854,0.39369168335741217,0.01317384462760215,0.12897285167196618,0.20484108753243793,0.05513193101853637,0.24785844562682222,0.1108468162669015,0.03286267951729873,0.10515207892033998,0.21571724714520923
M12.NQ4k.01.r16,M12.NQ4k.01.r16,M12,false,,NQ4k,01,r16,sft_xml,0.44718253596262497,0.5007604260607199,0.4169508370486173,0.019008561322571484,0.14590475981239476,0.21739869928748404,0.06309794763880856,0.27489746824602507,0.12314631403108163,0.039520826032729925,0.11505357975551356,0.23293270920547457
M12.NQ4k.01.r8,M12.NQ4k.01.r8,M12,false,,NQ4k,01,r8,sft_xml,0.442972952642224,0.4973900635675951,0.4125597254254601,0.017333927858323963,0.1514921254445245,0.21905075979185948,0.06804973666454625,0.27611646811815743,0.1255163110067758,0.04100701195436546,0.11719180474789387,0.233872103646894
M12.NQ4k.02.r16,M12.NQ4k.02.r16,M12,false,,NQ4k,02,r16,sft_xml,0.44590780250050804,0.5058372473174876,0.41315292298793793,0.013910429139834483,0.1504079903456889,0.20723171350414712,0.06255213807992374,0.27402325267385497,0.13073619879215084,0.029139095754463572,0.1205376892376998,0.23181635873736245
M12.NQ4k.02.r8,M12.NQ4k.02.r8,M12,false,,NQ4k,02,r8,sft_xml,0.44417885636741467,0.5022538270733573,0.4109710568189621,0.01364146127229102,0.1391683986702021,0.20738354028104172,0.05447289467883824,0.2688182970682134,0.11468875255165684,0.028696013828475173,0.10767925184388032,0.23038531602195317
M12.NQ4k.03.r16,M12.NQ4k.03.r16,M12,false,,NQ4k,03,r16,sft_xml,0.43969137197191066,0.49689710879867727,0.40611262866041875,0.014970576923863783,0.13446492547422045,0.20773336079035995,0.05604864872628176,0.2711931863445155,0.11461313347278038,0.034001386694124634,0.10971661045904262,0.23216924116742516
M12.NQ4k.03.r8,M12.NQ4k.03.r8,M12,false,,NQ4k,03,r8,sft_xml,0.44789917441931637,0.5021655236861923,0.41649238480763,0.016480415205940905,0.14306568008034665,0.2142160792524785,0.06192442160999338,0.28060488948598494,0.12131225957734412,0.0355485587040435,0.11678929439235981,0.2417793417524906
